locationid,Applicant,FacilityType,LocationDescription,Address,Status,FoodItems,Latitude,Longitude
528132,Quan Catering,Truck,BAY SHORE BLVD: VISITACION AVE to SUNNYDALE AVE (2501 - 2599) -- EAST --,2555 BAY SHORE BLVD,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.70937546,-122.4041544
559780,Mang Hang Catering,Truck,THOMAS MORE WAY: BROTHERHOOD WAY \ CHUMASERO DR to END (1 - 99),1 THOMAS MORE WAY,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,37.71000333,-122.4714119
532140,San Pancho's Tacos,Truck,ALEMANY BLVD: SICKLES AVE to I-280 N ON RAMP \ REGENT ST \ SAN JOSE AVE (3101 - 3155) -- SOUTH --,3119 ALEMANY BLVD,APPROVED,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks,37.71019302,-122.4552219
525582,Singh Brothers Ice Cream,Truck,NIBBI CT: GILLETTE AVE to END (1 - 99),35 NIBBI CT,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.71045169,-122.3961491
525834,May Catering,Truck,EXECUTIVE PARK BLVD: CANDLESTICK COVE WAY to SANDPIPER COVE WAY \ THOMAS MELLON DR (138 - 198),150 EXECUTIVE PARK BLVD,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.71083793,-122.3935434
525583,Singh Brothers Ice Cream,Truck,PENINSULA AVE: BLANKEN AVE to LATHROP AVE (300 - 399),360 PENINSULA AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.71084128,-122.3996426
528581,Golden Catering,Truck,BAY SHORE BLVD: LELAND AVE to VISITACION AVE (2401 - 2499) -- EAST --,2401 BAY SHORE BLVD,APPROVED,Cold Truck: Pre-packaged Sandwiches: Various Beverages: Salads: Snacks,37.71093379,-122.4027845
528583,Golden Catering,Truck,EXECUTIVE PARK BLVD: CRESCENT WAY to HARNEY WAY (300 - 399),301 EXECUTIVE PARK BLVD,APPROVED,Cold Truck: Pre-packaged Sandwiches: Various Beverages: Salads: Snacks,37.71163228,-122.3900163
534405,Giant Burrito,Truck,GENEVA AVE: PRAGUE ST to LINDA VISTA STPS (1500 - 1598) -- SOUTH --,1500 GENEVA AVE,APPROVED,Tacos: Burritos: Tostadas: Flautas: Tostadas: Tortas: Pozole Menudo,37.7123026,-122.4316442
525566,Singh Brothers Ice Cream,Truck,JAMESTOWN AVE: GRIFFITH ST to CORONADO ST (800 - 850),800 JAMESTOWN AVE,APPROVED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,37.716443,-122.3899379
